Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
T2021064755,Building Sign Permit,Sign - Ground /  Wall Signs,10/8/2021 5:00,2000,598 B BROADWAY 200,NASHVILLE,TN,COMMON AREA FIFTH & BROADWAY,guy dearmon,CASN,CAZ02A001,"to erect 250SF face change to existing sign for amazon music. no change to size, location, etc.",19,-86.77983904,36.16078332,264,37203,-9660287.493,4322767.522
T2021064788,Building Residential - New,"Accessory Structure, Garage",10/8/2021 5:00,69069,207 S 15TH ST,NASHVILLE,TN,PT LOT 94 BLK K LINDSLEY HOME PLACE,PARAGON GROUP LLC,CARN,CAA14U009,"to construct 1430SF (749Sf 1st, 681SF 2nd) detached garage to the rear of existing single family residence. not to be over any easements. not to be used for living space or commercial purposes.   must comply with hcn2021  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",6,-86.74426504,36.17404266,265,37206,-9656327.414,4324595.876
T2021064800,Building Commercial - Addition,"Religious Institution, Worship Space",10/8/2021 5:00,0,5820 HILLSBORO PIKE,NASHVILLE,TN,E SIDE HILLSBORO PK S OF TYNE BLVD,KIM DERAGON,CACA,CAB10A305,"Addition and rehab. Addition approximately 19' x 12' covered entry to existing doorway. Tenant Renovation (no kitchen or cleanup area) – Sq Ft. 15,449. Scope – Renovation of an existing 1920’s non-sprinklered building for worship. Addition to covered entry, interior renovations and restrooms. New expansion of platform, new ceiling, lighting, floors, finishes throughout. Relocation of historic stained-glass panels. The worship space shall receive new sprinkler system. POC KIM DERAGON, 615-306-9122.",34,-86.83702577,36.07553417,266,37215,-9666653.491,4311019.741
T2021064831,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",10/8/2021 5:00,15000,1006 VIRGINIA AVE,NASHVILLE,TN,PT LOT 30 MAPLEWOOD MANOR,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA14U011,"Self Permit,  personal residence.  To construct a 14 ft x 20 ft (280 sq ft) shed to rear of existing residence. Restrictive covenant required prior to any trade authorizations. 3 ft minimum side and rear setbacks. Must conform with easements. 1. Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general contractor’s licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  I further understand that separate permits are required for any proposed electrical, plumbing, & gas/mechanical work and is not part of this building permit….  2. Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code...3...You can dig your footers, but do not pour any concrete until you call for an inspection.  Also do not put up any drywall until you call for an inspection.  The idea is you do not cover up anything  with concrete or drywall until an inspector has had a chance to review..***SITE PLAN SENT TO FILE",7,-86.72961787,36.22153569,267,37216,-9654696.898,4331147.314
T2021064995,Building Commercial - Structural Frame,"Multifamily, Condominium > 5 Unit Bldg",10/11/2021 5:00,9964790,600 OAK ST,NASHVILLE,TN,LOT 2 NASHVILLE OZ PROPCO,CHRIS DAVIS,CACG,CAA03R299,building permit for the: Concrete Podium and Parking Garage.  POC CHRIS DAVIS,17,-86.77238234,36.14803834,268,37203,-9659457.417,4321010.385
T2021064997,Building Residential - Rehab,Single Family Residence,10/11/2021 5:00,88000,3216 WINGATE AVE,NASHVILLE,TN,LOT 59 SEC B AIRDRIE,Pat Malone,CARR,CAA01R301,"Need proof of ownership, contact telephone number, and self permit affidavits to self permit as personal residence.    Renovations to include updating kitchen, fixtures, flooring. and updating electrical and HVAC as needed. Remains single family. 1. Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general contractor’s licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  I further understand that separate permits are required for any proposed electrical, plumbing, & gas/mechanical work and is not part of this building permit….  2. Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code...3...You can dig your footers, but do not pour any concrete until you call for an inspection.  Also do not put up any drywall until you call for an inspection.  The idea is you do not cover up anything  with concrete or drywall until an inspector has had a chance to review..***SITE PLAN SENT TO FILE",16,-86.73470521,36.10227091,269,37211,-9655263.218,4314702.832
T2021065003,Building Commercial - Rehab,"Retail, Department / Retail Stores",10/11/2021 5:00,0,2130 ABBOTT MARTIN RD,NASHVILLE,TN,W/S HILLSBORO PK. & N/S ABBOTT MARTIN RD.,andrew mattessich,CACR,CAF20M001,"This is a tenant fit out of a leased shop within Nordstrom. Scope includes new partitions, ceiling framing, millwork, wall and floor finishes.  MEP scope includes new sprinkler head layout, new ceiling and millwork lighting, and minor HVAC work involving new supply and return locations with new duct branches.  POC ANDREW MATTESSICH",25,-86.81650052,36.10641628,270,37215,-9664368.63,4315273.985
T2021065049,Building Residential - Addition,Single Family Residence,10/11/2021 5:00,36857,246 EDGEMEADE DR,MADISON,TN,LOT 19 RESUB EDGEMEADE FARM,Tenika Patterson 615-779-0313,CARA,CAA01R301,"10/19 Rejected site plan, proposed addition drawn incorrectly on site plan. Requires a General Contractor, cannot self permit.    Renovations and addition to existing single family residence. Renovations to include upgrading electrical and plumbing.  To construct a 24 ft x 12.8 ft (304 sq ft) addition to rear of existing single family residence. 10 ft minimum setback along 0 EDGEMEADE DR property line, 5 ft side setback, and 20 ft minimum rear setback. Must conform with easements. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.",9,-86.70278714,36.2823137,271,37115,-9651710.115,4339537.158
T2021065070,Building Use & Occupancy,Master Permit Application,10/11/2021 5:00,1,5215 BLUE HOLE RD,ANTIOCH,TN,W SIDE BLUE HOLE RD N OF BELL RD,haley bass,CAUO,CAZ03A001,master permit to construct 60 unit townhomes. 14 buildings total.  no construction this permit,33,-86.67373373,36.04746687,272,37013,-9648475.904,4307154.707
T2021065115,Building Commercial - Rehab,Restaurant (Full Service),10/11/2021 5:00,0,112 19TH AVE S,NASHVILLE,TN,PT LOT 139 BOYD HOME TRACT,andrew hostetler,CACR,CAF19A203,early release package for demolition. All work  activities are intending for removal and proper disposal of existing elements only. New work to be  forthcoming in a final release package. Final Release package date is to be determined.  POC ANDREW HOSTELTER,19,-86.79660452,36.15147018,273,37203,-9662153.818,4321483.501
T2021065078,Building Sign Permit,Sign - Ground /  Wall Signs,10/11/2021 5:00,2600,200 C 25TH AVE S,NASHVILLE,TN,"LOTS IN MURRAY SUB, DIXIE PL SUB, PLUMR SUB, VUMC SUB AND ELISTON SUB &PT CL AL",stephanie cole,CASN,CAZ02A001,to erect 7sf non illuminated wall sign on existing retaining wall for Vanderbilt multicultural community space.,18,-86.8031046,36.14498193,274,37203,-9662877.403,4320589.044
T2021065142,Building Residential - Addition,Single Family Residence,10/11/2021 5:00,310000,205 BOWLING AVE,NASHVILLE,TN,PT LOTS 1 & 2 BLK J WHITLAND RLTY CO,PHIPPS CONSTRUCTION CO INC,CARA,CAA01R301,"To construct addition with 1336 sqf living area, 375 sqft screened porch and 500sqft open deck off rear of existing single family residence. Renovation to Existing Kitchen, Laundry, and Master Bathroom.  New Addition Includes, Breakfast Room, Family Room. 5' min side setback, 20' min rear setback. No second kitchen, to remain single family residence. Not to build over or obstruct any existing easements.    For every 50 feet of site frontage a double-sided sign 24 x36' in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. no more than three signs are required.",24,-86.8258705,36.13233422,275,37205,-9665411.692,4318845.668
T2021065148,Building Commercial - Rehab,"Retail, Department / Retail Stores",10/11/2021 5:00,0,317 LUTIE ST,NASHVILLE,TN,LOTS 52 & 53 RE-SUB BLK 26 CUMBERLAND NURSERIES & PT CL AL.,davey anderson,CACR,CAF20M001,"The plan is to enclose a musical stage. There is currently a deck, back wall and roof. We will be  adding two side walls and windows and a door in the front. We will also be adding a minisplit  HVAC unit, lighting and electrical recepticales. There will be no plumbing involved.  The purpose of this project is to create auxiliary recreation area for personnel  POC DAVEY ANDERSON",16,-86.74731705,36.11752528,276,37210,-9656667.162,4316804.743
T2021064774,Building Use & Occupancy,Master Permit Application,10/8/2021 5:00,0,806 B 51ST AVE N,NASHVILLE,TN,LOTS 918&920 PT 922&924 BLK 130 WEST NASH 1,Duane Cuthbertson 615-924-9618,CAUO,CAZ03A001,"Rejected: Requires S.E. to: 15 ft minimum street setback and 20 ft rear setback orientation per 17.16.030 F11. Requires variance to 10 ft  C  landscape buffer per 17.24.240     CS with UZO. 30 ft max ht at setbacks, then 1.5 ft V to 1 ft H  Adaptive Residential.  Master Permit for Multi family and commercial use. All construction to be permitted separately.    Needs complete set of plans, elevation with height control plane, and dimensioned site plan for review.    POC: Duane Cuthbertson 615-924-9618",20,-86.84882415,36.15724062,277,37209,-9667966.88,4322279.065
T2021065153,Building Commercial - Addition,Restaurant (Take Out),10/11/2021 5:00,0,1213 6TH AVE N,NASHVILLE,TN,PT LOT 104 D T MCGAVOCK,Self Permit,CACA,CAF31A203,To replace / repair an 8 x 10' addition to the rear of the Cupcake Collection.  This addition replaces an area damaged by the tornado . Same location .Setbacks: Rear: 20' Sides 0'    Point of Contact -Mignon Francois 615-738-6565,19,-86.78962806,36.17503905,278,37208,-9661377.202,4324733.282
T2021065323,Building Commercial - Rehab,"Retail, Department / Retail Stores",10/12/2021 5:00,0,4111 CHARLOTTE AVE,NASHVILLE,TN,S.E. CORNER CHARLOTTE AVE & 42ND AV N.& PT CL ALLEY,CENTRIC ARCHITECTURE,CACR,CAF20M001,"PROJECT SCOPE CONSISTS OF INTERIOR BUILD-OUT OF MERCANTILE SUITE G112 AT SYLVAN SUPPLY. THIS WORK  INCLUDES THE ADDITION OF A RESTROOM, STORAGE AREA AND OPEN RETAIL SPACE AS WELL AS A NEW  STOREFRONT ENTRY DOOR. NEW LIGHTING AND HVAC WILL BE INSTALLED TO SERVE THIS SPACE.  POC CENTRIC ARCHITECTURE",24,-86.83679801,36.15202974,279,37209,-9666628.137,4321560.645
T2021065197,Building Residential - Rehab,"General Office, Professional Services",10/11/2021 5:00,0,1608 A 17TH AVE S,NASHVILLE,TN,PT LOT 54 HAYES ROKEBY PLAN,ATKINSON REMODELING,CARR,CAD02B016,INCORRECT PERMIT TYPE. NEW APPLICATION CREATED. GO TO CACR-T2021065346	    Replacing existing deck and steps.  Must comply with Neighborhood Conservation Overlay.,17,-86.79505722,36.13829655,280,37212,-9661981.573,4319667.488
T2021065324,Building Residential - Rehab,Single Family Residence,10/12/2021 5:00,250000,416 N 16TH ST,NASHVILLE,TN,LOT 3 J J TAMBLE TRACT,"KANECO BUILDERS, KANECO ASSET MANAGEMENT LLC DBA",CARR,CAA01R301,"to conduct interior renovations to existing single family residence. no change to footprint. to remain single family.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",6,-86.74162485,36.18089043,281,37206,-9656033.509,4325540.248
T2021065642,Building Commercial - New,Mobile Food Vendors,10/13/2021 5:00,1,4905 EDMONDSON PIKE,NASHVILLE,TN,P/O LOT 6 J. A. PATTERSON LANDS,TAQUERIA EL CALENTANO,CACN,CAZ04A001,TO LOCATE TRAILER ON SITE FOR MOBILE FOOD SALES… …TAQUERIA EL CALENTANO… ..TRAILER TO STAY ON SITE…NOT TO OBSTRUCT TRAFFIC… …    POC: TOMAS JIMENEZ 615-491-7540,26,-86.72637459,36.07709349,282,37211,-9654335.858,4311234.509
T2021065337,Building Sign Permit,Sign - Ground /  Wall Signs,10/12/2021 5:00,30000,1578 SMOKETREE RD,ANTIOCH,TN,COMMON AREA CANYON RIDGE PHASE 3 AMENDED,"COLE, JOHN B CONSTRUCTION, LLC",CASN,CAZ02A001,to erect 2.5Sf non illuminated monument sign for canyon ridge. 15' min. setback.,28,-86.64997211,36.07237422,283,37013,-9645830.773,4310584.528
T2021065651,Building Demolition Permit,Demolition Permit - Commercial,10/13/2021 5:00,10000,3819 DICKERSON PIKE,NASHVILLE,TN,LOT 1. RE-SUB LOT 124 P/O LOT 125 KEMPER HEIGHTS. SEC. 1.,BOMAR CONSTRUCTION CO INC,CADM,CAZ01A002,"TO DEMOLISH EXISTING STRUCTURE (Franklin Motor Company office trailer).  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.     ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",3,-86.75652152,36.26480817,284,37207,-9657691.799,4337120.012
T2021065410,Building Commercial - New,"Recreation Center, Arenas",10/12/2021 5:00,0,8051 B RIVER ROAD PIKE,NASHVILLE,TN,N OF RIVER RD PIKE E OF CUBB CREEK RD,DENAE JAMES,CACN,CAL12A401,This project involves the construction of a new private equestrian arena  This facility shall not be available to the public for viewing of these horse related activities  POC DENAE JAMES,35,-86.94415464,36.19107336,285,37209,-9678579.022,4326944.723
T2021065653,Building Residential - Addition,Single Family Residence,10/13/2021 5:00,34553,3317 CLAPHAM RD,ANTIOCH,TN,LOT 49 HIGHLANDS OF CHELSEA VILLAGE SECTION TWO,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARA,CAA01R301,"Construct a 15' x 19', 285 SF single-story addition to the rear of the dwelling. Minimum 10' side setback. Not to locate in any easement. Critical lot. To remain single family. POC: Abdulkerim Idris, 615-752-8947. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor’s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",28,-86.65351013,36.07560805,286,37013,-9646224.623,4311029.917
T2021065683,Building Demolition Permit,Demolition Permit - Commercial,10/13/2021 5:00,47451,2205 BANDYWOOD DR,NASHVILLE,TN,"LOT 2 RESUB PT LOTS 32,33 GEORGE WATERS SUB PT 2","Dan Walker Associates, Inc",CADM,CAZ01A002,"REJECTED: INTERIOR DEMOLITION REQUIRES CACR PERMIT TYPE. RESUBMIT WITH CORRECT PERMIT TYPE.    Remove all ceilings, ductwork, flooring, plumbing fixtures",25,-86.81683527,36.10449759,287,37215,-9664405.895,4315009.622
T2021065717,Building Commercial - Rehab,"Multifamily, Apt / Twnhome > 5 Unit Bldg",10/13/2021 5:00,22000,2105 SUNSET PL,NASHVILLE,TN,PT LOTS 18 20 LINDEN PLACE,BLUEGRASS CONSTRUCTION LLC DBA BLUEGRASS CAPITAL BUILDERS,CACR,CAA03R399,"To conduct renovations for apartment 103, a total of 656 sf feet. N o changes to any interior structural components or exterior. Replacing appliances, cabinets, counters, HVAC and flooring.  No change to building footprint. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",18,-86.80383621,36.12829125,288,37212,-9662958.846,4318288.439
T2021065721,Building Use & Occupancy,"Home Occupation, Single Family Residence",10/13/2021 5:00,0,3510 RICHLAND AVE,NASHVILLE,TN,LOT 99 BLK 4 RICHLAND RLTY CO DIV A,PRECISION POOLS & SPA LLC,CAUO,CAA08R301,"rejected incorrect permit type. New application created, go to CARN-T2021065816	    To install a 12' X 8' pool in customer's backyard.",24,-86.82404593,36.13702119,289,37205,-9665208.582,4319491.693
T2021065735,Building Residential - Rehab,Single Family Residence,10/13/2021 5:00,19372,1215 SHELBY AVE,NASHVILLE,TN,LOT 192 E EDGEFIELD ADDN,"RAY, CHRISTIAN S.",CARR,CAA01R301,"To conduct general repairs due to tornado damage repairs from 2020 & 2021, porch and siding. No change to building/roof lines or footprint. Must comply with Neighborhood Conservation Overlay.",6,-86.74802443,36.17118242,290,37206,-9656745.907,4324201.446
T2021065750,Building Commercial - New,Restaurant (Take Out),10/13/2021 5:00,2000,4647 A NOLENSVILLE PIKE,NASHVILLE,TN,LOT 1 NOLENSVILLE RD COMMERCIAL PARK SEC 2,SELF CONTRACTOR COMMERCIAL (SEE APPLICANT INFORMATION),CACN,CAF31A203,"Locate a 16' x 8' food truck. Minimum street setback 15'. Juan Gomez, 615-479-5024.",27,-86.72039239,36.06860953,291,37211,-9653669.922,4310066.049
T2021065762,Building Residential - New,Single Family Residence,10/13/2021 5:00,2194,1804 FORREST AVE,NASHVILLE,TN,LOT 69 LOCKLAND,Keegan Fiovanti,CARN,CAA01R301,"Rejected: incorrect permit type. New application created. Go to CARR-T2021065800	    Updating Kitchen, entry way. staircase.",6,-86.73737591,36.17774205,292,37206,-9655560.519,4325106.046
T2021065800,Building Residential - Rehab,Single Family Residence,10/13/2021 5:00,2194,1804 FORREST AVE,NASHVILLE,TN,LOT 69 LOCKLAND,Keegan Fiovanti,CARR,CAA01R301,"To conduct interior renovations to existing single family residence. To include updating Kitchen, entry way. staircase. To remain single family residence. Must comply with NEIGHBORHOOD CONSERVATION OVERLAY.",6,-86.73737591,36.17774205,293,37206,-9655560.519,4325106.046
T2021065893,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",10/14/2021 5:00,7500,704 TIMBER LN,NASHVILLE,TN,LOT 2 TURNER SUB,"OTTESTAD, PER KRISTIAN & EDITH KUHNLE",CARN,CAA14U011,12'x24' SHED TO BE LOCATED TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …5’ MINIMUM SIDE… …3’ MINIMUM REAR SETBACK… …NOT TO BE USED AS LIVING SPACE… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …     POC: EDITH OTTESTAD 615-593-2552,24,-86.82348962,36.12172209,294,37215,-9665146.653,4317383.096
T2021065936,Building Demolition Permit,Demolition Permit - Residential,10/14/2021 5:00,7000,4103 VAILWOOD DR,NASHVILLE,TN,LOT 32 WALLACE SUB PT 3,"Demo Plus, Inc",CADM,CAZ01A001,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.     ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",34,-86.83092275,36.10324629,295,37215,-9665974.106,4314837.218
T2021066129,Building Commercial - Rehab,Restaurant (Fast Food),10/15/2021 5:00,0,719 THOMPSON LN,NASHVILLE,TN,E. SIDE POWELL AVENUE S/S THOMPSON LANE,MIKE MARTIN 608-407-9090,CACR,CAF30A203,"Temp Store to be open during the construction of the renovated Panera Bread store located in  Vanderbilt University hospital. Temp store will be open for 120 days. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.  POC MIKE MARTIN 608-407-9090",26,-86.76516983,36.10866761,296,37204,-9658654.524,4315584.188
T2021066134,Building Commercial - Rehab,Restaurant (Fast Food),10/15/2021 5:00,517000,719 THOMPSON LN 23400,NASHVILLE,TN,E. SIDE POWELL AVENUE S/S THOMPSON LANE,MIKE MARTIN,CACR,CAF30A203,"Interior Rehab of 2499 sq ft for Panera Bread restaurant. Formerly Au Bon Pain. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill.   POC MIKE MARTIN 608-407-9090",26,-86.76410292,36.10913085,297,37204,-9658535.756,4315648.017
T2021066138,Building Commercial - Rehab,"General Office, Professional Services",10/15/2021 5:00,0,522 BELL RD,ANTIOCH,TN,E SIDE BELL RD S OF MURFREESBORO PIKE,ROBERT HOWARD,CACR,CAD02B016,nterior renovation of an existing B-Business occupancy.  POC ROBERT HOWARD,32,-86.63659047,36.07022903,298,37013,-9644341.135,4310289.086
T2021066190,Building Commercial - Rehab,"General Office, Professional Services",10/15/2021 5:00,0,4733 ANDREW JACKSON PKWY,HERMITAGE,TN,PT LOT 1 RE-SUB LOT 2 JACKSON SQUARE SEC 4,Tony Baker 931-319-2675,CACR,CAD02B016,Need dimensioned plans with handrail specs for commercial/fire reviews.  need owner affidavit to self permit.    To renovate existing accessibility ramp and add 2nd ramp to front entrance of existing office building. Both ramps will be 27 ft x24 ft  and access from existing paved sidewalk if front of building.   POC: Tony Baker 931-319-2675  bakerfarms96@gmail.com,11,-86.59698327,36.2180434,299,37076,-9639932.082,4330665.434
T2021066216,Building Demolition Permit,Demolition Permit - Residential,10/15/2021 5:00,6200,2417 HERMAN ST,NASHVILLE,TN,LOTS 14 & 15 A. C. ROTH SUB MCNAIRY,"ODOM CONSTRUCTION & REMODELING, LLC",CADM,CAZ01A001,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.   ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",21,-86.81314134,36.16206737,300,37208,-9663994.688,4322944.568
T2021066266,Building Demolition Permit,Demolition Permit - Commercial,10/15/2021 5:00,4000,2292 MURFREESBORO PIKE,NASHVILLE,TN,PARCEL 249 NASHBORO VILLAGE RETAIL CENTER,ViViD1 Builders,CADM,CAZ01A002,REJECTED. INCORRECT PERMIT TYPE. NEW APPLICATION CREATED. GO TO CACR-T2021066448 TO CONTINUE PROCESS.    Demolishing two existing walls and prep for new tenant Extreme Hot Wings,29,-86.64710014,36.08805891,301,37217,-9645511.066,4312744.917
T2021066294,Building Residential - New,Single Family Residence,10/15/2021 5:00,0,1712 EASTSIDE AVE,NASHVILLE,TN,PT LOT 134 UNITED ELECTRIC RAILWAY,MUSIC CITY BUILDERS,CARN,CAA01R301,"rejected: incorrect permit type used. New application created, go to CADM-T2021066669	    Demolition of entire property to prepare for new single family residential build.",6,-86.73951943,36.16796522,302,37206,-9655799.135,4323757.808
T2021066305,Building Use & Occupancy,"Warehouse, Storage S-1",10/15/2021 5:00,9000,2960 ARMORY DR,NASHVILLE,TN,LOT 2 RADNOR INDUSTRIAL SUBDIVISION,"SYLVAN, F M INC",CAUO,CAH10S001,Installation & anchoring for crossovers ,26,-86.75406613,36.1017286,303,37204,-9657418.466,4314628.114
T2021066345,Building Residential - Rehab,Single Family Residence,10/16/2021 5:00,0,907 B CAROLYN AVE,NASHVILLE,TN,UNIT B 907 CAROLYN COTTAGES,"Riverside Remodeling and Construction, LLC",CARR,CAA01R301,"REJECTED/CANCELED: RESUBMIT USING CARN PERMIT TYPE    To construct a new single family home. Heated space to be 2,264 sq ft with 87 sq ft of covered porch. Unit B - 072093J00200CO",5,-86.74754556,36.19940612,304,37216,-9656692.599,4328094.15
