Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date Issued,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y,Permit Description
T2022005690,Building Residential - New,Single Family Residence,086120E24900CO,1/26/2022 6:00,,289087,4915 MYRA DR,HERMITAGE,TN,UNIT 249 RIVERBROOK AMENDED,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4083908,"New Single Family construction - Total sq footage 2143 sf living, 468 sf attached garage and 138 sf porch.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12,-86.59029202,36.1802996,412,37076,-9639187.215,4325458.764,Building Residential New
T2022005709,Building Residential - New,"Accessory Structure, Pools - Residential",15902003800,1/26/2022 6:00,,98073,1239 CARL SEYFERT MEMORIAL DR,BRENTWOOD,TN,LOT 9 GALAXY ESTATES,Pool and Spa Depot,CARN,CAA14U017,4083932,Will be installing a 14'x32' 373SF fiberglass inground swimming pool with a 400 SF brushed concrete deck. Existing code compliant fence,34,-86.82086492,36.05893482,413,37027,-9664854.473,4308733.746,Building Residential New
T2022005717,Building Residential - New,Single Family Residence,081031Y00200CO,1/26/2022 6:00,,300563,2409 18TH AVE N,NASHVILLE,TN,UNIT B 18TH AVENUE HOMES,BUILD TRUST HOMES LLC,CARN,CAA01R301,4083943,"To construct a new HPR single-family residence with 2250 sq. ft. of living space, 345 sq. ft. garage, and 230 SF of Front porch and Rear deck.  units detached.  max allowed height is 27.8'.  min required distance between structures is 6' min with no bump outs.  40' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",2,-86.81244813,36.19073725,414,37208,-9663917.52,4326898.362,Building Residential New
T2022005895,Building Residential - Addition,"Accessory Structure, Decks",155160A11900CO,1/27/2022 6:00,,47284,6220 DEERBROOK DR,NASHVILLE,TN,LOT 332 TRACESIDE SECTION 4,"ARCHADECK OF NASHVILLE, HENDERSON ENTERPRISE LLC DBA",CARA,CAA14U015,4084220,"--ELECTRICAL WILL BE PART OF THIS PROJECT. OUR SUBCONTRACTOR WILL NEED TO BE ABLE TO PULL A PERMIT--  Archadeck to design and build 13’x30’ shed/hip closed gable end roof porch with footers below grade. Porch will be built utilizing pressure treated 6”x6” posts, hot dip galvanized fasteners, a parting board and fascia and risers to match decking. A block wall foundation will be added with brick veneer to match home. Pressure treated floor joists and cypress decking will be used for the flooring. Scenix tempered glass windows with a frame color of white, miratec trim with wood grain side and a new aluminum storm door with a frame color of white will be added. Porch will have a tongue and groove ceiling finish with aluminum fascia and vinyl soffit. Fortress Fe26 iron railing in the color of black gloss will be added to the stairs only. ",35,-86.96085082,36.03338269,417,37221,-9680437.632,4305215.752,Building Residential Addition
T2022006171,Building Residential - Rehab,Single Family Residence,7416008300,1/28/2022 6:00,,3000,5008 BONNAWELL DR,HERMITAGE,TN,LOT 402 SEC 5 HERMITAGE HILLS,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARR,CAA01R301,4084693,to install a full bath in basement area of residence.,14,-86.63359875,36.19629817,418,37076,-9644008.098,4327665.423,Building Residential Rehab
T2022006294,Building Residential - New,Single Family Residence,131080N00200CO,1/28/2022 6:00,,67672,4414 FARRISWOOD DR,NASHVILLE,TN,UNIT B FARRISWOOD COTTAGES,"PORCH CO INC, THE",CARN,CAA01R301,4084879,"To build a screen porch on the back of home, approx. 17' by 16' in size. This will be unheated space. Electrical and gas/mechanical will be needed.",25,-86.79844808,36.0950299,420,37204,-9662359.042,4313705.231,Building Residential New
T2022006296,Building Residential - Addition,Single Family Residence,10304048800,1/28/2022 6:00,,157090,4209 B UTAH AVE,NASHVILLE,TN,LOT 1 PLAN OF WEST END ANNEX AMENDMENT LOT 89,STRATTON EXTERIORS INC,CARA,CAA01R301,4084881,"Project consists of converting approximately 385 SF of second level to DADU and adding approximately 99 SF of elevated deck. The estimated costs are $157,090 to complete. NOT A DADU, NOT TO BE USED FOR DWELLING PURPOSE. Not to be built in 20' PUDE.",24,-86.83778134,36.14411026,421,37209,-9666737.6,4320468.883,Building Residential Addition
T2022006465,Building Residential - New,Single Family Residence,9614016000,1/29/2022 6:00,,0,901 ALLEN RD,NASHVILLE,TN,S SIDE ALLEN RD W OF COLFAX DR,"DURRUTY, JUAN GUILLERMO",CARN,CAA01R301,4085140,"REJECTED: PLAT MUST BE RECORDED/PARCELS CREATED PRIOR TO PERMIT APPLICATION. MUST RESUBMIT WHEN PLAT RECORDED.      The parent parcel number is 09614016000, is zone code RS10, contains 3.88 Acres. The current application is for developing lot 11, of the subdivision, of proposed horizontal property line regime with 4,296 Square Feet of living area, 832 SF attached garage,455 SF of total porch area, 186 SF of exterior deck area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",15,-86.65947197,36.14909782,422,37214,-9646888.292,4321156.444,Building Residential New
T2022006556,Building Residential - Rehab,Single Family Residence,6103017300,1/31/2022 6:00,,0,5025 INGLEWOOD CT,NASHVILLE,TN,LOT 55 INGLEWOOD HGTS,sameh lawendy,CARR,CAA01R301,4085242,"to demolish attached garage portion of the existing single family residence. living portion of house to remain. not to be buried or burned on site.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72287974,36.23334686,424,37216,-9653946.813,4332777.227,Building Residential Rehab
T2022006669,Building Residential - Addition,Single Family Residence,8304017600,1/31/2022 6:00,,59165,2318 CARTER AVE,NASHVILLE,TN,LOT 25 ROSEBANK SUB JWC CHURCH& PT L 52 BROWNSVILLE & TRACT,"BLUE CHIP INVESTMENTS, LLC",CARA,CAA01R301,4085422,"TO CONSTRUCT 488 SQFT ADDITION OFF REAR OF EXISTING SINGLE FAMILY (SEE PLAN)… …5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …",6,-86.72027427,36.18830515,426,37206,-9653656.773,4326562.901,Building Residential Addition
T2022006583,Building Residential - New,"Accessory Structure, Pools - Residential",8303015600,1/31/2022 6:00,,0,1204 B RIVERSIDE DR,NASHVILLE,TN,PT LOTS 35 & 36 ASHWORTH SUB 47 48 49 50BROWNSVILLE,PROGRESSIVE DEVELOPMENT LLC,CARN,CAA14U017,4085300,"REJECTED: INCORRECT PERMIT TYPE, APPLICATION TO BE CANCELED. RESUBMIT CARN WITH ACCESSORY STRUCTURE/SHED SUB TYPE. KITCHEN NOT PERMITTED/REMOVE FROM PLANS.    To construct pool house on the back of the property, 608 sf",6,-86.72694217,36.18864976,427,37206,-9654399.04,4326610.433,Building Residential New
T2022006874,Building Residential - New,Detached Accessory Dwelling Unit,8309003000,2/1/2022 6:00,,113116,1210 B ORDWAY PL,NASHVILLE,TN,LOT 15 F O BEAZLEY SUB BLK C DOUGLAS,jim dukes,CARN,CAA11R301,4085752,"to construct 1,383Sf detached accessory dwelling unit (635SF living space, 748SF garage space) to the rear of existing single family residence. not to be over any easements.  must comply with hcn2022001656    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",6,-86.74704489,36.17996663,429,37206,-9656636.865,4325412.842,Building Residential New
T2022006959,Building Residential - Rehab,"Accessory Structure, Decks",8314032300,2/1/2022 6:00,,0,1806 BOSCOBEL ST,NASHVILLE,TN,LOT 56 EDGEFIELD LAND CO 1,TRISTAR BUILDING SERVICE LLC,CARR,CAA14U015,4085892,"TriStar Building Services seeks to obtain a building permit for removal and replacement of existing deck in same profile and footprint. Footers will be spaced and excavated to the required depth and size set forth by the International Code Standard as well as the protocols set forth by the Davidson County Codes Dept. Framing will consist of pressure treated lumber, constructed per the guidelines set forth by the International Code Standard as well as the protocols set forth by the Davidson County Codes Department. Distance from left property line: 13''. Distance from right property line: 12''. Distance from rear property line: 63''. No change in footprint. Remains single family residence. For every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. 20' min rear s/b. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  MHZC must review application.",6,-86.73833887,36.17093032,433,37206,-9655667.715,4324166.682,Building Residential Rehab
T2022007092,Building Residential - New,Single Family Residence,12810011700,2/1/2022 6:00,,476211,630 HICKS RD,NASHVILLE,TN,SITE ONE STACY SQUARE SEC 3,"BLUEGRASS CONSTRUCTION GROUP, LLC",CARN,CAA01R301,4086141,"To construct single family residence with 3690 SF of living space, and 597 SF of garage.  120' min front s/b; 10' min side s/b; 20' min rear s/b.  max allowed height is 45' three floors max.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",22,-86.93768259,36.08884982,434,37221,-9677858.557,4312853.867,Building Residential New
T2022007163,Building Residential - Rehab,Single Family Residence,600009900,2/2/2022 6:00,,149980,2222 BAKER RD,GOODLETTSVILLE,TN,W/S BAKER ROAD N OF FREEMAN ROAD,STELLAN EOIN BUILDERS LLC,CARR,CAA01R301,4086224,"Rebuild roof system on entire home and build addition above existing livingroom area and in rear(change of footprint), per attached drawings.",10,-86.7596174,36.36857115,435,37072,-9658036.43,4351455.429,Building Residential Rehab
T2022007098,Building Residential - New,"Accessory Structure, Carport",8310029700,2/1/2022 6:00,,10626,1702 B FORREST AVE,NASHVILLE,TN,PT OF LOT 79 LOCKLAND,CITY LIMITS CONSTRUCTION,CARN,CAA14U004,4086147,"TO CONSTRUCT 440SF GARAGE-PORT (CARPORT) TO REAR OF PROPOSED DWELLING. MUST COMPLY WITH APPROVED HISTORIC PERMIT ***PURSUANT TO ORDINANCE NO 2008-1263 OF THE METROPOLITAN CODE OF LAWS, I, HOLDER OF THIS PERMIT, HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE. FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED. ***MHZC MUST REVIEW APPLICATION.  NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES.",6,-86.73921801,36.17781125,436,37206,-9655765.581,4325115.59,Building Residential New
T2022007282,Building Residential - New,Single Family Residence,061070D00300CO,2/2/2022 6:00,,0,807 C GWYNN DR,NASHVILLE,TN,UNIT C HOMES AT 807 GWYNN DRIVE,"Legacy South Builders, LLC",CARN,CAA01R301,4086379,"To construct single family residence with 2,343 Sq. Ft. of living area, 160 Sq. Ft. of porch area, 440 Sq. Ft. of garage area.",8,-86.73045392,36.22882609,438,37216,-9654789.967,4332153.342,Building Residential New
T2022007405,Building Residential - Rehab,Single Family Residence,9311017000,2/2/2022 6:00,,0,101 LEA AVE,NASHVILLE,TN,PT LOTS 24-25-26 RUTLEDGE,DREAMINC,CARR,CAA01R301,4086381,THIS IS ACTUALLY A COMMERCIAL BUILDING ,19,-86.77011495,36.15581941,439,37210,-9659205.012,4322083.119,Building Residential Rehab
T2022007473,Building Residential - New,Single Family Residence,9113008300,2/2/2022 6:00,,2257,511 EASTBORO DR,NASHVILLE,TN,LOT 37 E T BROWN,L & S CONSTRUCTION SERVICES,CARN,CAA01R301,4086661,to build 2 new homes ,20,-86.86793791,36.15143449,440,37209,-9670094.614,4321478.581,Building Residential New
T2022007477,Building Residential - New,Single Family Residence,9113008300,2/2/2022 6:00,,2256,511 EASTBORO DR,NASHVILLE,TN,LOT 37 E T BROWN,L & S CONSTRUCTION SERVICES,CARN,CAA01R301,4086688,to build 2 new homes,20,-86.86793791,36.15143449,441,37209,-9670094.614,4321478.581,Building Residential New
T2022007271,Building Residential - New,Single Family Residence,061070D00200CO,2/2/2022 6:00,,0,807 B GWYNN DR,NASHVILLE,TN,UNIT B HOMES AT 807 GWYNN DRIVE,"Legacy South Builders, LLC",CARN,CAA01R301,4086370,"To construct single family residence with 2,328 Sq. Ft. of living area, 222 Sq. Ft. of porch area, and 440 Sq. Ft. of garage area. ",8,-86.7311928,36.22869864,444,37216,-9654872.218,4332135.754,Building Residential New
T2022007701,Building Residential - Roofing / Siding,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711013600,2/3/2022 6:00,,33233,600 WHISPERING HILLS DR,NASHVILLE,TN,E/S OF WHISPERING HILLS DRIVE N/S OF LEEANNE DRIVE,ATLANTA'S RELIABLE ROOFING CO,CARK,CAA03R399,4087051,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES (Bldg C). INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES WITH A PEEL N STICK BASE AND CAP SHEET ON CANOPY AREA,26,-86.7297636,36.06943964,445,37211,-9654713.121,4310180.371,Building Residential Roofing/Siding
T2022007706,Building Residential - Roofing / Siding,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711013600,2/3/2022 6:00,,38391,600 WHISPERING HILLS DR,NASHVILLE,TN,E/S OF WHISPERING HILLS DRIVE N/S OF LEEANNE DRIVE,ATLANTA'S RELIABLE ROOFING,CARK,CAA03R399,4087081,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES.  INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES IN BLACK AND PEEL N STICK BASE AND CAP SHEET ON CANOPY AREA (BLDG H),26,-86.7297636,36.06943964,446,37211,-9654713.121,4310180.371,Building Residential Roofing/Siding
T2022007264,Building Residential - New,Single Family Residence,061070D00100CO,2/2/2022 6:00,,0,807 A GWYNN DR,NASHVILLE,TN,UNIT A HOMES AT 807 GWYNN DRIVE,"Legacy South Builders, LLC",CARN,CAA01R301,4086361,"To construct Single Family Residence with 2,392 Sq. Ft. of living area, 183 Sq. Ft. of porch area, and 440 Sq. Ft. of garage area. ",8,-86.7311928,36.22869864,447,37216,-9654872.218,4332135.754,Building Residential New
T2022007288,Building Residential - New,Single Family Residence,061070D00400CO,2/2/2022 6:00,,0,807 D GWYNN DR,NASHVILLE,TN,UNIT D HOMES AT 807 GWYNN DRIVE,"Legacy South Builders, LLC",CARN,CAA01R301,4086386,"To construct single family residence with 2,330 Sq. Ft. of living area, 148 Sq. Ft. of porch area, and 440 Sq. Ft. of garage area. ",8,-86.7311928,36.22869864,448,37216,-9654872.218,4332135.754,Building Residential New
T2022007709,Building Residential - Roofing / Siding,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711013600,2/3/2022 6:00,,33233,600 WHISPERING HILLS DR,NASHVILLE,TN,E/S OF WHISPERING HILLS DRIVE N/S OF LEEANNE DRIVE,ATLANTA'S RELIABLE ROOFING,CARK,CAA03R399,4087086,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES.  INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES IN BLACK WITH A PEEL N STICK BASE AND CAP SHEET ON CANOPY AREA (BLDG M,26,-86.7297636,36.06943964,449,37211,-9654713.121,4310180.371,Building Residential Roofing/Siding
T2022007690,Building Residential - New,"Accessory Structure, Garage",9206012400,2/3/2022 6:00,,25358,2703 B2 MORENA ST,NASHVILLE,TN,LOT 347 BLK 20 HEFFERMAN PLACE,Hanna Eraga,CARN,CAA14U009,4087053,"Construct a 21' x 25', 525 SF single story garage. Minimum side setback 5'. Not to be in any easement. POC: Hanna Eraga.  Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor’s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit.  No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.  Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",21,-86.81799129,36.16300808,450,37208,-9664534.582,4323074.276,Building Residential New
T2022007711,Building Residential - Roofing / Siding,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711003000,2/3/2022 6:00,,38391,526 NORTHCREST DR,NASHVILLE,TN,W SIDE COTTON LANE N OF NORTHCREST DR,ATLANTA'S RELIABLE ROOFING,CARK,CAA03R399,4087091,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES.  INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES IN BLACK WITH PEEL N STICK BASE AND CAP SHEET ON CANOPY AREA (BLDG P),26,-86.72668323,36.06802617,451,37211,-9654370.215,4309985.71,Building Residential Roofing/Siding
T2022007712,Building Residential - Roofing / Siding,"Multifamily, Apt / Twnhome > 5 Unit Bldg",14711003000,2/3/2022 6:00,,38391,526 NORTHCREST DR,NASHVILLE,TN,W SIDE COTTON LANE N OF NORTHCREST DR,ATLANTA'S RELIABLE ROOFING,CARK,CAA03R399,4087095,REROOF - TO REMOVE AND REPLACE ROOF SHINGLES.  INSTALLING CERTAINTEED ARCHITECTURAL SHINGLES IN BLACK WITH PEEL N STIC BASE AND CAP SHEET ON CANOPY AREA (BLDG R),26,-86.72668323,36.06802617,452,37211,-9654370.215,4309985.71,Building Residential Roofing/Siding
T2022007758,Building Residential - Addition,Single Family Residence,8207021304,2/3/2022 6:00,,135425,610 B N 2ND ST,NASHVILLE,TN,LOT 81 HARRIS ADDN,MODERN BUILDERS LLC,CARA,CAA01R301,4087178,"Construct a DADU. To be reviewed by Planning. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.    Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",5,-86.77203911,36.18216444,453,37207,-9659419.209,4325715.955,Building Residential Addition
T2022007783,Building Residential - Addition,"Accessory Structure, Garage",13210006400,2/3/2022 6:00,,0,4432 CURTISWOOD CIR,NASHVILLE,TN,LOT 1 (TRACT NO. 1 & TRACT NO. 2) MARY JEAN HAMILTON PROPERTY,The Covered patio,CARA,CAA14U009,4087202,12x24 shed style roof attached to existing house to cover over the existing patio.,25,-86.77874903,36.0887369,454,37204,-9660166.154,4312838.312,Building Residential Addition
T2022007959,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",13312025500,2/4/2022 6:00,,5000,3825 SCOTWOOD DR,NASHVILLE,TN,LOT 143 REV LOT 143 GREENWOOD HILLS SEC 3,"REYES, EMERITA",CARN,CAA14U011,4087459,[dimensions] SHED TO BE LOCATED TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …5’ MINIMUM SIDE… …20’ MINIMUM REAR SETBACK… …MAXIMUM HEIGHT 16’ TO PEAK… …NOT TO BE USED AS LIVING SPACE… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …,30,-86.71533887,36.09189013,456,37211,-9653107.367,4313272.69,Building Residential New
T2022008005,Building Residential - New,Single Family Residence,061070D00300CO,2/4/2022 6:00,,0,807 C GWYNN DR,NASHVILLE,TN,UNIT C HOMES AT 807 GWYNN DRIVE,"Legacy South Builders, LLC",CARN,CAA01R301,4087518,"To construct single family residence with 2,343 sq. ft. of living area, 160 sq. ft. of porch area, and 440 sq. ft. of garage area. ",8,-86.73045392,36.22882609,457,37216,-9654789.967,4332153.342,Building Residential New
T2022008037,Building Residential - New,Duplex,9204017300,2/5/2022 6:00,,2324,1215 A IRELAND ST,NASHVILLE,TN,LOTS 98 & 99 HARDING PLAN,ART BUILDING INC,CARN,CAA02R302,4087551,"REJECTED: MASTER PERMIT MUST BE ISSUED AND UNIT PARCELS MUST BE CREATED PRIOR TO INITIATING PERMIT APPLICATION. THIS APP TO BE CANCELED, RESUBMIT NEW APPLICATION AFTER MASTER PERMIT IS ISSUED AND UNIT PARCELS CREATED.    The parent parcel number is 09204017300, is zone code OV-UZO, contains 17,470 SF. The current application is for developing Unit A of proposed horizontal property line regime with 2,324 Square Feet of living area, 385 SF attached garage, 30 SF of front porch area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",19,-86.79800718,36.16745193,459,37208,-9662309.961,4323687.03,Building Residential New
T2022008038,Building Residential - New,Duplex,9204017300,2/5/2022 6:00,,2324,1215 B IRELAND ST,NASHVILLE,TN,LOTS 98 & 99 HARDING PLAN,ART BUILDING INC,CARN,CAA02R302,4087552,"REJECTED: MASTER PERMIT MUST BE ISSUED AND UNIT PARCELS MUST BE CREATED PRIOR TO INITIATING PERMIT APPLICATION. THIS APP TO BE CANCELED, RESUBMIT NEW APPLICATION AFTER MASTER PERMIT IS ISSUED AND UNIT PARCELS CREATED.    The parent parcel number is 09204017300, is zone code OV-UZO, contains 17,470 SF. The current application is for developing Unit B of proposed horizontal property line regime with 2,324 Square Feet of living area, 385 SF attached garage, 30 SF of front porch area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",19,-86.7979599,36.1673855,460,37208,-9662304.698,4323677.869,Building Residential New
T2022008039,Building Residential - New,Duplex,9204017300,2/5/2022 6:00,,2324,1215 C IRELAND ST,NASHVILLE,TN,LOTS 98 & 99 HARDING PLAN,ART BUILDING INC,CARN,CAA02R302,4087553,"REJECTED: MASTER PERMIT MUST BE ISSUED AND UNIT PARCELS MUST BE CREATED PRIOR TO INITIATING PERMIT APPLICATION. THIS APP TO BE CANCELED, RESUBMIT NEW APPLICATION AFTER MASTER PERMIT IS ISSUED AND UNIT PARCELS CREATED.    The parent parcel number is 09204017300, is zone code OV-UZO, contains 17,470 SF. The current application is for developing Unit C of proposed horizontal property line regime with 2,324 Square Feet of living area, 385 SF attached garage, 30 SF of front porch area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",19,-86.79791965,36.16732303,461,37208,-9662300.217,4323669.255,Building Residential New
T2022008041,Building Residential - New,Duplex,9204017300,2/5/2022 6:00,,2324,1215 D IRELAND ST,NASHVILLE,TN,LOTS 98 & 99 HARDING PLAN,ART BUILDING INC,CARN,CAA02R302,4087555,"REJECTED: MASTER PERMIT MUST BE ISSUED AND UNIT PARCELS MUST BE CREATED PRIOR TO INITIATING PERMIT APPLICATION. THIS APP TO BE CANCELED, RESUBMIT NEW APPLICATION AFTER MASTER PERMIT IS ISSUED AND UNIT PARCELS CREATED.    The parent parcel number is 09204017300, is zone code RM20, contains 17,470 SF. The current application is for developing Unit D of proposed horizontal property line regime with 2,324 Square Feet of living area, 385 SF attached garage, 30 SF of front porch area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",19,-86.79787754,36.16726376,462,37208,-9662295.53,4323661.083,Building Residential New
T2022008113,Building Residential - New,"Multifamily, Townhome",9204017300,2/7/2022 6:00,,2324,1217 A IRELAND ST,NASHVILLE,TN,LOTS 98 & 99 HARDING PLAN,ART BUILDING INC,CARN,CAA03R301,4087642,"REJECTED: MASTER PERMIT MUST BE ISSUED AND UNIT PARCELS MUST BE CREATED PRIOR TO INITIATING PERMIT APPLICATION. THIS APP TO BE CANCELED, RESUBMIT NEW APPLICATION AFTER MASTER PERMIT IS ISSUED AND UNIT PARCELS CREATED.    The parent parcel number is 09204017300, is zone code RM20, contains 17,470 SF. The current application is for developing Unit A of proposed horizontal property line regime with 2,324 Square Feet of living area, 385 SF attached garage, 30 SF of front porch area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",19,-86.79816696,36.16737878,464,37208,-9662327.748,4323676.943,Building Residential New
